Romanized_Text,Human_Annotated_Bengali_Text
3rd episode kbe asbe?,৩র্ড এপিসোড কবে আসবে?
480p er size koto bro?,৪৮০পি এর সাইজ কত ব্রো ?
5-15 praiy,৫-১৫ প্রায়
5-barmuda triangle,৫–বারমুডা ট্রায়াঙ্গেল
copy kora,কপি করা
onek onek dhonnobad direct link deyar jonno,অনেক অনেক ধন্যবাদ ডিরেক্ট লিংক দেয়ার জন্য
Onek boro hoye geche tai deini . Porer porbotate dibo InshaAllah,অনেক বড় হয়ে গেছে তাই দেইনি । পরের পর্বটাতে দিয়ে দিবো ইনশাআল্লাহ
onek shundor vaiya,অনেক সুন্দর ভাইয়া
onek sundor hoisey vai,অনেক সুন্দর হইছে ভাই
wait koren koyek hours nahole upto 24 hours,ওয়েট করেন কয়েক আওয়ারস নাহলে আপটু ২৪ আওয়ারস
oshongkho dhonnobad onupreronar jonno,অসংখ্য ধন্যবাদ অনুপ্রেরণার জন্য
oshongkho dhonnobad apnake,অসংখ্য ধন্যবাদ আপনাকে
oshadharon tips vai,অসাধারণ টিপস ভাই
Apply kora jasse na kno??,অ্যাপ্লাই করা যাচ্ছে না কেন??
Id te follower baranor trick den,আইডি তে ফলোয়ার বাড়ানোর ট্রিক দেন
ager moto abar post kora suru korben,আগের মতো আবার পোস্ট করা শুরু করবেন
acca ami comment korte pari na kno,আচ্ছা আমি কমেন্ট করতে পারি না কেন
Apnakeo ontorer ontosthol theke dhonnobad,আপনাকেও অন্তরের অন্তস্থল থেকে ধন্যবাদ
Apnar kothata thik bujhte parlam na vaiya,আপনার কথাটা ঠিক বুঝতে পারলাম না ভাইয়া
Apni ki doctor?,আপনি কি ডাক্তার?
Apnar post deki nai…,আপনার পোস্ট দেখি নাই...
Apnio apply kore felechen,আপনিও অ্যাপ্লাই করে ফেলেছেন
Apsos kew eta read korlo na …. ajk hoito onk er jibon bodle jeto jodi tara ektu porar chesta korto… kuno comment nai deke comment korlam. ami sadaronoto comment kori na trickbd te.. ey post ta amar onk valo lagse tai comment korlam.. keep it up,আফসোস কেউ এটা রিড করল না .... আজকে হয়ত অনেক এর জীবন বদলে যেত যদি তারা একটু পড়ার চেষ্টা করতো... কোন কমেন্ট নাই দেখে কমেন্ট করলাম। আমি সাধারণত কমেন্ট করি না ট্রিকবিডি তে.. এই পোস্ট টা আমার অনেক ভালো লাগছে তাই কমেন্ট করলাম.. কিপ ইট আপ
Amar toh vai tiktok related kono post korar kotha chilo na vai,আমার তো ভাই টিকটক রিলেটেড কোন পোস্ট করার কথা ছিল না ভাই
amar nai vai,আমার নাই ভাই
Amr Title copy korln??,আমার টাইটেল কপি করলেন??
Ami to post deoyar Agei deksi,আমি তো পোস্ট দেওয়ার আগেই দেখছি
amio pai tobe sorbo sadharoner jonno google drive link ee valo,আমিও পাই তবে সর্ব সাধারণের জন্য গুগল ড্রাইভ লিঙ্ক ই ভালো
Ami release er koyek hour porei deksi,আমি রিলিজ এর কয়েক আওয়ার পরেই দেখছি
Ami release er koyek hour porei post disi,আমি রিলিজ এর কয়েক আওয়ার পরেই পোস্ট দিছি
amio dekhi tobe amar kace eta aktu grey color mone hoy jodio ami thik focus korte pari na. ar ha akasher dike takale ba besi brightness hole beshi dekhi. aj jante parle eta asole ki. Very very thank you bro.,আমিও দেখি তবে আমার কাছে এটা একটু গ্রে কালার মনে হয় যদিও আমি ঠিক ফোকাস করতে পারি না। আর হ্যাঁ আকাশের দিকে তাকালে বা বেশি ব্রাইটনেস হলে বেশি দেখি। আজ জানতে পারলে এটা আসলে কি। ভেরি ভেরি থ্যাংক ইউ ব্রো।
English content google theke Bangla translate kore pst kore dichen,ইংলিশ কন্টেন্ট গুগল থেকে বাংলা ট্রান্সলেট করে পোস্ট  করে দিছেন
ei site YouTube Suscribe Drop Kore Onek r Onno Gulo Same Onek Drop Kore r Kao Point Nite Chayle Bolbe 15 Tk Per K Point sell dibo points,এই সাইট ইউটিউব সাবস্ক্রাইব ড্রপ করে অনেক আর অন্য গুলো সেইম অনেক ড্রপ করে আর কেউ পয়েন্ট নিতে চাইলে বলবে ১৫ টক পার ক পয়েন্ট সেল দিবো পয়েন্টস
ei like drop kore.. so time waste,এই লাইক ড্রপ করে.. সো টাইম ওয়েস্ট
Egula soddo release,এইগুলা সদ্য রিলিজ
Ekdom Last e jeta Hoice.,একদম লাস্ট এ যেটা হইছে।
Akhon mota hoisen?,এখন মোটা হইছেন?
Ata ki j kono jela theke apply kora jabe???,এটা কি যে কোনো জেলা থেকে অ্যাপ্লাই করা যাবে???
Eta ki bikroy dot kom,এটা কি বিক্রয় ডট কম
Fb two factor sms passi na sim on ayse…ki korbo…help…login hosse na,এফবি টু ফ্যাক্টর এসএমএস পাচ্ছি না সিম অন আছে…কি করবো…হেল্প…লগইন হচ্ছে না
Oita ekhono running,ঐটা এখনো রানিং
"Workout kore nijeke onk tired koren, jate age ghum aste baddho hoy","ওয়ার্কআউট করে নিজেকে অনেক টায়ারড করেন, যাতে আগে ঘুম আসতে বাধ্য হয়"
OOO accha ami amr dui id diye like disi,ও আচ্ছা আমি আমার দুই আইডি দিয়ে লাইক দিছি
Ki dekhay,কি দেখায়
ki vai ? Etodin je jene eshechi lebute saitrick acid thake,কি ভাই ? এতদিন যে জেনে এসেছি লেবুতে সাইট্রিক এসিড থাকে
Kisu,কিছু করার নাই
kichu banan vul ase bro lekhar time e kheyal korben,কিছু বানান ভুল আছে ব্রো লেখার টাইম এ খেয়াল করবেন
kintu title rong I bujhaisen,কিন্তু টাইটেল রং ই বুঝাইছেন
"kintu vai tormuj er je dam, tate chas kore khawya chara upay nai","কিন্তু ভাই তরমুজ এর যে দাম, তাতে চাষ করে খাওয়া ছাড়া উপায় নাই"
Kivabe?,কীভাবে?
kotha theke copy koren egula !!,কোথা থেকে কপি করেন এগুলা !!
Kon classe poren?,কোন ক্লাসে পড়েন?
caption ta vlo moto pore niben tarpor hasben,ক্যাপশন টা ভালো মত পরে নিবেন তারপর হাসবেন
credit dau,ক্রেডিট দাও
Kub valo,খুব ভালো
Khub valo hoice.,খুব ভালো হইছে।
Khube educative post. Thanks,খুব এডুকেটিভ পোস্ট। থ্যাংকস
khub shundor,খুব সুন্দর
Khub sundor hoice vai. Thanks,খুব সুন্দর হইছে ভাই। থ্যাংকস
Google drive a Downloading system ta darun,গুগল ড্রাইভ এ ডাউনলোডিং সিস্টেম টা দারুন
"Chomotkar post , chaliye jan","চমৎকার পোস্ট , চালিয়ে যান"
Chinese,চাইনিজ
chaliye jaw,চালিয়ে যাও
"Don’t Worry My Bro,","ডোন্ট ওরি মাই ব্রো,"
Jajakallah khairan,জাজাকাল্লাহ খাইরান
Copied From Jibon Somossar Somadhan(Sumon Saha),কপিড ফ্রম জীবন সমস্যার সমাধান(সুমন সাহা)
Jibon Somossar Somadhan Channel Theke,জীবন সমস্যার সমাধান চ্যানেল থেকে
Joss,জোস
torrent theke dwnld krte paren,টরেন্ট থেকে ডাউনলোড করতে পারেন
"Tiktok reffer related shob post deleted, aigula trickbd teh prohibited","টিকটক রেফার রিলেটেড সব পোস্ট ডিলিটেড, এইগুলা ট্রিকবিডি তে প্রহিবিটেড"
trickbd copy dorce Ekhane kichu korar nei..!,ট্রিকবিডি কপি ধরছে এখানে কিছু করার নেই..!
Trickbd te Movie Review sombondh ekta category toiri kre uchit,ট্রিকবিডি তে মুভি রিভিউ সম্বন্ধ একটা ক্যাটাগরি তৈরি করে উচিত
Trickbd er support team ke mail den.,ট্রিকবিডি এর সাপোর্ট টিম কে মেইল দেন।
"Thik Blecen, Ami Tai Comment Kre Feleclam. Kintu Trickbd’r J Emno Visitor Ace, Jara Manuske NirdidhaTe Bina Bakke Omanus Ble Felte Pare, Ta Ekhn Dkhlam.","ঠিক বলেছেন, আমি তাই কমেন্ট করে ফেলেছিলাম। কিন্তু ট্রিকবিডি'র যে এমনও ভিসিটর আছে, যারা মানুষকে নির্দ্বিধাতে বিনা বাক্যে অমানুষ বলে ফেলতে পারে, তা এখন দেখলাম।"
Doctor na hole agulo janen kivabe,ডক্টর না হলে এইগুলো জানেন কিভাবে
tel ektu gorom kore lagaben,তেল একটু গরম করে লাগাবেন
tel lagle chul porar poriman bere jay,তেল লাগলে চুল পড়ার পরিমাণ বেড়ে যায়
deya thik na,দেয়া ঠিক না
Dhonnobad,ধন্যবাদ
Thanks Darun Post,থ্যাংকস  দারুন পোস্ট
Thanks vai,থ্যাংকস ভাই
"Dhonnobad vai,erpor theke nischoy lokkho rakhbo","ধন্যবাদ ভাই,এরপর থেকে নিশ্চয় লক্ষ্য রাখবো"
Thanks vaiya sundor comment korar jonno,থ্যাংকস ভাইয়া সুন্দর কমেন্ট করার জন্য
dhonnobad vaiya,ধন্যবাদ ভাইয়া
Dhonnobad,ধন্যবাদ
nah. tobe main character thakbe.,না। তবে মেইন ক্যারেক্টার থাকবে।
"Naa vai, asay aci,, hobo","না ভাই, আশায় আছি,, হবো"
na vai premium kinte hoy,না ভাই প্রিমিয়াম কিনতে হয়
"Nah,, kno??","না,, কেন??"
Nijeke porn teke bacar jonno vpn use korte Mana korben,নিজেকে পর্ণ থেকে বাঁচার জন্য ভিপিএন ইউজ করতে মানা করবেন
No Mercy Movier ki Hindi Dubbed ace??,নো মার্সি মুভির কি হিন্দি ডাবড আছে??
National ID nicha ta ami yes dechi,ন্যাশনাল আইডি নিচে তে আমি ইয়েস দিছি
Full post copy kora aii video teka.,ফুল পোস্ট কপি করা এই ভিডিও থেকে।
Thanks for the post,থ্যাংকস ফর দা পোষ্ট
facebook e connect hoya jabe apnar sathe ?,ফেসবুক এ কানেক্ট হয়া যাবে আপনার সাথে ?
Bangla subtitle ase?,বাংলা সাবটাইটেল আছে?
Bah!! Valo laglo.,বাহ!! ভাল লাগলো।
B-50 forte and E-cap,বি-৫০ ফোর্টে এবং ই-ক্যাপ
Vai,ভাই
Vai apnar agei post ta koresi dekhen,ভাই আপনার আগেই পোস্ট টা করেছি দেখেন
Bhai Amra TorrentGalaxy te release hoyar shathei peye jai,ভাই আমরা টরেন্টগ্যালাক্সি তে রিলিজ হওয়ার সাথেই পেয়ে যাই
Vai amar pc theke to,ভাই আমার পিসি থেকে তো
Vi ata ki incognito modeu kaj korbe???,ভাই এটা কি ইনকগনিটো মোডেও কাজ করবে???
Vai koto bochorer baccha der ketra teomar cancer sombobona royecha,ভাই কত বছরের বাচ্চা দের ক্ষেত্রে টিউমার ক্যান্সার সম্ভাবনা রয়েছে
Brother kotha gulo khub e mulloban…,ব্রাদার কথা গুলো খুব ই মূল্যবান...
"vai korola kheye eto upokar hoy . Ami korola to khaina , to ebar theke khabo","ভাই করোলা খেলে এত উপকার হয় । আমি করোলা তো খাইনা , তো এবার থেকে খাবো"
vai credit to file er namer sathei deya ache,ভাই ক্রেডিট তো ফাইল এর নামের সাথেই দেয়া আছে
Vai sorry bujte pari nay,ভাই সরি বুঝতে পারি নাই
Vai pushpa movie r hole print ber hoise.. Hd print asle share korbo.,ভাই পুশপা মুভি র হলে প্রিন্ট বের হইছে.. এইচডি প্রিন্ট আসলে শেয়ার করবো।
bhai pushpa movie r gdrive link hbe?,ভাই পুশপা মুভি র  জিড্রাইভ লিঙ্ক হবে?
Ore vai post er topic dekhe ami sihorito,ওরে ভাই পোস্ট এর টপিক দেখে আমি শিহরিত
vai bornobad bondho koren,ভাই বর্ণবাদ বন্ধ করেন
Vai bangla subtitle diye dekte paren..,ভাই বাংলা সাবটাইটেল দিয়ে দেখতে পারেন..
Vhai voy dekhaiyen nah,ভাই ভয় দেখায়েন না
Vai ram charan rama movie ta hindi kore diben,ভাই রাম চরণ রামা মুভি টা হিন্দি করে দিবেন
Bhai series Ta ekdom great,ভাই সিরিজ টা একদম গ্রেট
"vai, pusti o upokarita ache bolei post kora hoyeche","ভাই, পুস্টি ও উপকারিতা আছে বলেই পোস্ট করা হয়েছে"
Vai…link ai to dhoka jaccena…karo kace link thakle daw,ভাই…লিংক এই তো ঢোকা যাচ্ছেনা…কারো কাছে লিংক থাকলে দাও
Vaiya apni er age je photo competition korsilen sekhane ki jitsilen?,ভাইয়া আপনি এর আগে যে ফটো কম্পিটিসন করছিলেন সেখনে কি জিতছিলেন?
"Vai, awasome post.","ভাই, অসাম পোস্ট।"
valo post,ভালো পোস্ট
Valo laglo vai,ভালো লাগলো ভাই
valo lekesen sir,ভালো লিখছেন স্যার
Valo post korechen but sobsomoy egula na diye kichu tech based post oh dite paren,ভালো পোস্ট করেছেন বাট সবসময় এগুলা না দিয়ে কিছু টেক বেজড পোস্ট ওহ দিতে পারেন
valo lagce,ভালো লাগছে
vlo laglo,ভালো লাগলো
ghataghati korata bad den,ঘাটাঘাটি করাটা বাদ দেন
valo lekhesen fahad sir !!,ভালো লিখেছেন ফাহাদ স্যার !!
Valoy post ti!,ভালোয় পোস্ট টি!
Languages?,ল্যাঙ্গুয়েজেস?
vpn use korle ki abr aisa porbo naki??,ভিপিএন ইউজ করলে কি আবার আইসা পরবো নাকি??
vpn use korle jodi aisei pore taile lav ki hoilo,ভিপিএন ইউজ করলে যদি আইসেই পরে তাইলে লাভ কি হইল
The villainess….aita kibabe miss korlen….osthir akta movie,দ্যা ভিলেনেস....এইটা কিভাবে মিস করলেন....অস্থির একটা মুভি
masallha onak sundor post.,মাশাল্লাহ অনেক সুন্দর পোষ্ট।
Mota Hoite chai tahole ami ki korbo,মোটা হইতে চাই তাহলে আমি কি করব
zodi tika na nei tahole ki kono problem hobe?,যদি টিকা না নেই তাহলে কি কোন প্রবলেম হবে?
Redmi note 9 pro … Er jnno erkom band ase ki bro?,রেডমি নোট ৯ প্রো ... এর জন্য এরকম ব্যান্ড আছে কি ব্রো ?
Like Na diye perlam na…,লাইক না দিয়ে পারলাম না...
link ta din,লিংক টা দিন
likhte vul hoyechilo . Dhonnobad,লিখতে ভুল হয়েছিল । ধন্যবাদ
Link kaj kore na,লিঙ্ক কাজ করে না
Author vaiya amar post ta dekhen,অথর ভাইয়া আমার পোস্ট টা দেখেন
last er tips taa shey kaaje dey! aami aytaa aage thekei kori,লাস্ট এর টিপস টা সেই কাজে দেয়! আমি এইটা আগে থেকেই করি
"sothik kotha , onek bere geche dam","সঠিক কথা , অনেক বেড়ে গেছে দাম"
sob jaigai emoji use korben nah.,সব জায়গাই ইমোজি ইউজ করবেন না।
sob dekha,সব দেখা
Done,ডান
helpful post….chaliye jan vai,হেল্পফুল পোস্ট....চালিয়ে যান ভাই
site e dhuke na keno??,সাইট এ ঢুকে না কেনো??
site e probes korte parchi na broo…ekhon ki korbo,সাইট এ প্রবেশ করতে পারছি না ব্রো …এখন কি করব
Sundor,সুন্দর
Sundor post,সুন্দর পোস্ট
shagotom,স্বাগতম
hm apni thik bolecen.amio kom boyoser moddhe ekjon.sokale jokhon ami post er title dekhlam amio kharap post vebe eriyegecilam.but pore mone holo trickbd te tw kharap post deya nised tai porlam.,হুম আপনি ঠিক বলেছেন।আমিও কম বয়সের মধ্যে একজন। সকালে যখন আমি পোস্ট এর টাইটেল দেখলাম আমিও খারাপ পোস্ট ভেবে এড়িয়েগেছিলাম।বাট পরে মনে হলো ট্রিকবিডি তে তো খারাপ পোস্ট দেয়া নিষেদ তাই পড়লাম।
Hummm vaiya,হুম ভাইয়া
"hum,dhonnobad","হুম,ধন্যবাদ"
games ti doya kore mod share korun,গেমস টি দয়া করে মড শেয়ার করুন
vai sin tin ache? Roja rekhe dekha jabe ? Eita dekhi nai ekhono,ভাই সিন টিন আছে? রোযা রেখে দেখা যাবে ? এইটা দেখি নাই এখনো
eita dekha jabe,এইটা দেখা যাবে
abar jiggash korar mane ki ?,আবার জিজ্ঞেস করার মানে কি ?
ei anime amaro onek valo legeche,এই এনিমে আমারো অনেক ভালো লেগেছে
dekha suru kori tahole,দেখা শুরু করি তাহলে
sehrir sothik uccharon naki sahri hobe ?,সেহরির সঠিক উচ্চারণ নাকি সাহরি হবে ?
dhonnobad,ধন্যবাদ
khub shundor post vai,খুব সুন্দর পোস্ট ভাই
dhonnobad vaijan,ধন্যবাদ ভাইজান
dekhe felte paren,দেখে ফেলতে পারেন
jinish ta shobari ekbar ontoto dekha uchit,জিনিস টা সবারই একবার অন্তত দেখা উচিত
"oita 10-20 episode dekhe drop disi, amar valo lage nai","ওইটা ১০-২০ এপিসোড দেখে ড্রপ দিছি, আমার ভাল লাগে নাই"
ufsos vai valo ekta jinish drop disen,আফসোস ভাই ভালো একটা জিনিস ড্রপ দিছেন
ami kobe dekhei sesh kore felsi,আমি কবে দেখেই শেষ করে ফেলছি
korlei a niye janbe,করলেই এ নিয়ে জানবে
vai,ভাই
anime dekhi nai,এনিমে দেখি নাই
rojay ki ojon bare? Naki kome,রোজায় কি ওজন বাড়ে? নাকি কমে
mashallah onek upokari post,মাশাল্লাহ অনেক উপকারি পোস্ট
sabash bangladesh,সাবাস বাংলাদেশ
apni ki muslim naki hindi naki kono dhormer ? Ektu bolben vai,আপনি কি মুসলিম নাকি হিন্দি নাকি কোনো ধর্মের ? একটু বলবেন ভাই
dhonnobad jananor jonno,ধন্যবাদ জানানোর জন্য
"ekhane shob bishoy somporke jante parben , Dhonnobad","এখানে সব বিষয় সম্পর্কে জানতে পারবেন , ধন্যবাদ"
apne khan ?,আপনে খান ?
sorir thik thaklei to apni sikhte parben,শরীর ঠিক থাকলেই তো আপনি শিখতে পারবেন
"ekta likha o copy na , proman dite parle trickbd chere jabo, Dhonnbad","একটা লিখা ও কপি না , প্রমান দিতে পারলে ট্রিকবিডি ছেড়ে যাব, ধন্যবাদ"
prio ekta khabar,প্রিয় একটা খাবার
"khujle paben,season 5 projonto ache mone hoy","খুঁজলে পাবেন,সিজন ৫ পর্যন্ত আছে মনে হয়"
bangla thakle den . English to Youtube ei ache,বাংলা থাকলে দেন । ইংলিশ তো ইউটিউব এই আছে
59% download hoyar por ar download hocche na,৫৯% ডাউনলোড হয়ার পর আর ডাউনলোড হচ্ছে না
post aro shundor kore,পোস্ট আরো সুন্দর করে
copy mukto post kora hoyeche.Sajeshon deyar jonno Dhonnobad.,কপি মুক্ত পোস্ট করা হয়েছে।সাজেশন দেয়ার জন্য ধন্যবাদ
ei post e valobasha word 15 bar ache,এই পোস্ট এ ভালোবাসা ওয়ার্ড ১৫ বার আছে
lekha gula ulta palta,লেখা গুলা উল্টা পাল্টা
onubad koratai,অনুবাদ করাটাই
abaler moto keno kotha bolen vai,আবালের মত কেন কথা বলেন ভাই
dhonnobad prio vai,ধন্যবাদ প্রিয় ভাই
ojon komanor tips den,ওজন কমানোর টিপস দেন
bah vai khub uporkari post,বাহ ভাই খুব উপকারী পোস্ট
dhonnnobad,ধন্যবাদ
title porar por bujhlm je ei post amar jonno na,টাইটেল পড়ার পর বুঝলাম যে এই পোস্ট আমার জন্য না
"o o , title valo kore pora uchit apnar, Dhonnobad","ও ও , টাইটেল ভাল করে পড়া উচিৎ আপনার, ধন্যবাদ"
"hum, parle ojon baranor post den","হুম,পারলে ওজন বাড়ানোর পোস্ট দেন"
"chesta korbo,dhonnobad","চেষ্টা করব,ধন্যবাদ"
Dhakay aschi,ঢাকায় আসছি
Allah'r upor vorosha rakhuk In Sha Allah valo hoye jabe,আল্লাহ'র উপর ভরসা রাখুক ইন শা আল্লাহ ভালো হয়ে যাবে
Sochetonata mulok post.Dhonnobad,সচেতনতা মূলক পোস্ট। ধন্যবাদ
Oigula to bujhlam kintu jodi gopon camera thake,ওইগুলা তো বুঝলাম কিন্তু যদি গোপন ক্যামেরা থাকে
camerar shamne kichu diye diben jate kichu dekha na jay,ক্যামেরার সামনে কিছু দিয়ে দিবেন যাতে কিছু দেখা না যায়
rotpindo protirodh kore kotha ta bujhlam na vai,রতপিন্ড প্রতিরোধ করে কথা টা বুঝলাম না ভাই
"edit kora hoyeche, Dhonnobad","এডিট করা হয়েছে, ধন্যাবাদ"
rotpindo protirodh kore naki ridrog protirodh kore ?,রতপিণ্ড প্রতিরোধ করে নাকি হৃদরোগ প্রতিরোধ করে ?
"agei edit kora hoyeche,type e vul chilo","আগেই এডিট করা হয়েছে,টাইপ এ ভুল ছিল"
"ami nijei asokto,ar onner kotha ki boli ?","আমি নিজেই আসক্ত,আর অন্যের কথা কি বলি ?"
kom use korun,কম ইউজ করুন
8 hours etokhon mobile diye ki koren,৮ আওয়ারস এতক্ষণ মোবাইল দিয়ে কি করেন
free fire kheli,ফ্রি ফায়ার খেলি
etato somoy noshter mul karon,এটাতো সময় নষ্টের মূল কারণ
"jeigula beshi important seigula sudhu diyechi, Apni hubuhu mil paben na","যেইগুলা বেশি ইম্পরটেন্ট সেইগুলা শুধু দিয়েছি, আপনি হুবহু মিল পাবেন না"
shesher ta valo lageni,শেষেব় টা ভাল লাগেনি
hubuhu mil nai,হুবহু মিল নেই
dhonnobad shundor post korar jonno,ধন্যবাদ সুন্দর পোস্ট করার জন্য
non smoker der sonngkha khub e kom,নন স্মোকার দের সংখ্যা খুব ই কম
sothik bolchen vai,সঠিক বলছেন ভাই
tottosurto ki ?,তথ্যসূত্র কি ?
bivinno jayga theke dharona pawya o sothik tottho,বিভিন্ন জায়গা থেকে ধারনা পাওয়া ও সঠিক তথ্য
"Alhamdullilah, Ami dhumpan kori na","আলহামদুলিল্লাহ, আমি ধুমপান করি না"
valo lage na,ভালো লাগে না
"khub valo post, Onek upokar holo","খুব ভালো পোস্ট, অনেক উপকার হলো"
Oshongkho dhonnobad,অসংখ্য ধন্যবাদ
islamic drishtyte video game nishiddho,ইসলামিক দৃষ্টিতে ভিডিও গেম নিষিদ্ধ
"ha ! Tobe Islamic drishtite to onek kichu nishiddho, Tobe eta koyjon ba mane","হ্যা ! তবে ইসলামিক দৃষ্টিতে তো অনেক কিছু নিষিদ্ধ, তবে এটা কয়জন বা মানে"
kothay ghurte jaben ?,কোথায় ঘুরতে যাবেন ?
valo dik jemon ache kharap dik o onek ache,ভালো দিক যেমন আছে খারাপ দিক ও অনেক আছে
ha ! Ekhane sudhu valo dik ta tule dhora hoyeche,হ্যা ! এখানে শুধু ভাল দিক টা তুলে ধরা হয়েছে
Erokom hadis ami paini,এরকম হাদীস আমি পাইনি
dhonnobad vai,ধন্যবাদ ভাই
post ta ki kono jaiga theke songgroho korechen naki nije likhchen ?,পোস্ট টা কি কোনো জায়গা থেকে সংগ্রহ করেছেন নাকি নিজে লিখেছেন ?
ektu clear kore niven,একটু ক্লিয়ার করে নিবেন
nam dekhe to muslim e mone hocche,নাম দেখে তো মুসলিম ই মনে হচ্ছে
vul kichu bolle khoma korben vai,ভুল কিছু বললে ক্ষমা করবেন ভাই
shobai dekhben,সবাই দেখবেন
ekebare shundor khati koyekta kotha likhechen vai,একেবারে সুন্দর খাটি কয়েকটা কথা লিখেছেন ভাই
oshadharon,অসাধারণ
dhonnobad,ধন্যবাদ
dorkari post dhonnobad,দরকারি পোষ্ট ধন্যবাদ
Apnakeo dhonnobad,আপনাকেও ধন্যবাদ
dhonnobad,ধন্যবাদ
ei post ti to facebook e dekhecilm,এই পোস্ট টি তো ফেসবুক এ দেখেছিলাম
sheta amari post chilo vai,সেটা আমারই পোস্ট ছিল ভাই
"korechen , dhonnobad","করেছেন , ধন্যবাদ"
nischoye oshonkho dhonnobad apnake,নিশ্চয় অসংখ্য ধন্যবাদ আপনাকে
movie gulo obosshoi dekhbo,মুভি গুলো অবশ্যই দেখব
nishchoy,নিশ্চয়
bangla dabing movie er review den,বাংলা ডাবিং মুভি এর রিভিউ দেন
darun post vaiya,দারুন পোস্ট ভাইয়া
ami jani,আমি জানি
"thaktei pare bro, onek shundor dekhte","থাকতেই পারে ব্রো, অনেক সুন্দর দেখতে"
likhe search korun taholei peye jaben,লিখে সার্চ করুন তাহলেই পেয়ে যাবেন
Allah'r name scam korecehn ? Etota nich hoyaw thik noy,আল্লাহ'র নামে স্ক্যাম করেছেন ? এতোটা নিচ হওয়াও ঠিক নয়
madam movie theke ber hoye kichu den,ম্যাডাম মুভি থেকে বের হয়ে কিছু দেন
doya korben In Sha Allah ashbe,দোয়া করবেন ইন শা আল্লাহ আসবে
movie series bad diye onno dike line dhoren,মুভি সিরিজ বাদ দিয়ে অন্য দিকে লাইন ধরেন
chestay achi,চেষ্টায় আছি
etto movie diya ki hobe onno kichu thakle share korun,এত্ত মুভি দিয়া কি হবে অন্য কিছু থাকলে শেয়ার করুন
chestay achi,চেষ্টায় আছি
boro movie laver apnae,বড় মুভি লাভার আপনে
hum bujhlam nah,হুম বুঝলাম না
onek valo laglo post ta pore,অনেক ভালো লাগলো পোস্ট টা পড়ে
review gula plot ar ektu boro plot bujhte shubhidha hoy,রিভিউ গুলা প্লট আর একটু বড় প্লট বুঝতে সুবিধা হয়
tumi ki sottie varote thako ?,তুমি কি সত্যিই ভারতে থাক ?
Valo post,ভালো পোষ্ট
"Porobar opochondo, bondhur gopon kotha","পরিবার অপছন্দ, বন্ধুর গোপন কথা"
Amazon prime kinba naki Netflix download kore dekhe nin,অ্যামাজন প্রাইম কিনবা নাকি নেটফ্লিক্স ডাউনলোড করে দেখে নিন
ami copy post korechi,আমি কপি পোস্ট করেছি
Sorry vaiya ashole ami bujhte pari nai,সরি ভাইয়া আসলে আমি বুঝতে পারি নাই
Ei to direct copy post,এই তো ডিরেক্ট কপি পোস্ট
report korun,রিপোর্ট করুন
oi site tai hocche copy site ekti,ঔ সাইট টাই হচ্ছে কপি সাইট একটি
Water bottle movie er link proyojon,ওয়াটার বোতল মুভি এর লিংক প্রয়োজন
"na vai , ekhon khelbo na re","না ভাই , এখন খেলবো না রে"
kosom apu ekta dinner o pai nai,কসম আপু একটা ডিনার ও পাই নাই
ki bolli ami bokbok kori tai na,কি বললি আমি বকবক করি তাই না
vaiya apni oi soytaner kothay ekmot hoye boolechen ami beshi kotha boli,ভাইয়া আপনি ঐ শয়তানের কথায় একমত হয়ে বলেছেন আমি বেশি কথা বলি
"Ha , In Sha Allah thakbo","হ্যাঁ , ইন শা আল্লাহ থাকবো"
ke gali dilo ?,কে গালি দিল ?
oita ar bolchi na vaiya,ওইটা আর বলছি না ভাইয়া
Dhaka attack dekhbo somoy kore,ঢাকা এট্যাক দেখবো সময় করে
Apu free fire khelen ?,আপু ফ্রি ফায়ার খেলেন ?
na vaiya,না ভাইয়া
apu fb te friend request pathasi accept koren,আপু এফবি তে ফ্রেন্ড রিকুয়েস্ট পাঠাইছি একসেপ্ট করুন
vai eta ki review chilo ?,ভাই এটা কি রিভিউ ছিল ?
"thik ache , chesta korbo","ঠিক আছে , চেষ্টা করবো"
eitah kivabe review holo ??,এইটা কিভাবে রিভিউ হলো ??
ei movie te sound nai,এই মুভি তে সাউন্ড নাই
ji kintu eta chara Youtube e onnota khuje pelam na vaiya,জি কিন্তু এটা ছাড়া ইউটিউব এ অন্যটা খুঁজে পেলাম না ভাইয়া
dekha ase,দেখা আছে
jodi ektu bujhiye bolten,যদি একটু বুঝিয়ে বলতেন
"thriller mane hocche romanchokor, asha kori apnar uttor peyechen vaiya","থ্রিলার মানে হচ্ছে রোমাঞ্চকর, আশা করি আপনার উত্তর পেয়েছেন ভাইয়া"
video dekhe vaggish Youtube video dekhecilm,ভিডিও দেখে ভাগ্যিস ইউটিউব ভিডিও দেখেছিলাম
thik bujhlam na vai natok review korte eshe protarona kothay ?,ঠিক বুঝলাম না ভাই নাটক রিভিউ করতে এসে প্রতারণা কোথায় ?
next porbe thakbe,নেক্সট পর্বে থাকবে
shera natoker moddhe sir er nai nai,সেরা নাটকের মধ্যে স্যার এর নাই নাই
natok ache ja apnar chokhe pore nai,নাটক আছে যা আপনার চোখে পরে নাই
chokh diye pani jhorbe emon natok to dilen,চোখ দিয়ে পানি ঝরবে এমন নাটক তো দিলেন
onek agei dekhechi,অনেক আগেই দেখেছি
